date,timestamp,country,country_code,search_term,interest
"Aug 29 – Sep 4, 2021",1630195200,Chile,CL,Netflix,73
"Sep 5 – 11, 2021",1630800000,Chile,CL,Netflix,71
"Sep 12 – 18, 2021",1631404800,Chile,CL,Netflix,84
"Sep 19 – 25, 2021",1632009600,Chile,CL,Netflix,88
"Sep 26 – Oct 2, 2021",1632614400,Chile,CL,Netflix,84
"Oct 3 – 9, 2021",1633219200,Chile,CL,Netflix,71
"Oct 10 – 16, 2021",1633824000,Chile,CL,Netflix,76
"Oct 17 – 23, 2021",1634428800,Chile,CL,Netflix,71
"Oct 24 – 30, 2021",1635033600,Chile,CL,Netflix,69
"Oct 31 – Nov 6, 2021",1635638400,Chile,CL,Netflix,78
"Nov 7 – 13, 2021",1636243200,Chile,CL,Netflix,72
"Nov 14 – 20, 2021",1636848000,Chile,CL,Netflix,62
"Nov 21 – 27, 2021",1637452800,Chile,CL,Netflix,67
"Nov 28 – Dec 4, 2021",1638057600,Chile,CL,Netflix,62
"Dec 5 – 11, 2021",1638662400,Chile,CL,Netflix,66
"Dec 12 – 18, 2021",1639267200,Chile,CL,Netflix,65
"Dec 19 – 25, 2021",1639872000,Chile,CL,Netflix,68
"Dec 26, 2021 – Jan 1, 2022",1640476800,Chile,CL,Netflix,85
"Jan 2 – 8, 2022",1641081600,Chile,CL,Netflix,100
"Jan 9 – 15, 2022",1641686400,Chile,CL,Netflix,87
"Jan 16 – 22, 2022",1642291200,Chile,CL,Netflix,90
"Jan 23 – 29, 2022",1642896000,Chile,CL,Netflix,85
"Jan 30 – Feb 5, 2022",1643500800,Chile,CL,Netflix,93
"Feb 6 – 12, 2022",1644105600,Chile,CL,Netflix,95
"Feb 13 – 19, 2022",1644710400,Chile,CL,Netflix,90
"Feb 20 – 26, 2022",1645315200,Chile,CL,Netflix,85
"Feb 27 – Mar 5, 2022",1645920000,Chile,CL,Netflix,78
"Mar 6 – 12, 2022",1646524800,Chile,CL,Netflix,77
"Mar 13 – 19, 2022",1647129600,Chile,CL,Netflix,79
"Mar 20 – 26, 2022",1647734400,Chile,CL,Netflix,69
"Mar 27 – Apr 2, 2022",1648339200,Chile,CL,Netflix,70
"Apr 3 – 9, 2022",1648944000,Chile,CL,Netflix,67
"Apr 10 – 16, 2022",1649548800,Chile,CL,Netflix,80
"Apr 17 – 23, 2022",1650153600,Chile,CL,Netflix,75
"Apr 24 – 30, 2022",1650758400,Chile,CL,Netflix,82
"May 1 – 7, 2022",1651363200,Chile,CL,Netflix,75
"May 8 – 14, 2022",1651968000,Chile,CL,Netflix,80
"May 15 – 21, 2022",1652572800,Chile,CL,Netflix,82
"May 22 – 28, 2022",1653177600,Chile,CL,Netflix,84
"May 29 – Jun 4, 2022",1653782400,Chile,CL,Netflix,78
"Jun 5 – 11, 2022",1654387200,Chile,CL,Netflix,82
"Jun 12 – 18, 2022",1654992000,Chile,CL,Netflix,79
"Jun 19 – 25, 2022",1655596800,Chile,CL,Netflix,91
"Jun 26 – Jul 2, 2022",1656201600,Chile,CL,Netflix,95
"Jul 3 – 9, 2022",1656806400,Chile,CL,Netflix,92
"Jul 10 – 16, 2022",1657411200,Chile,CL,Netflix,92
"Jul 17 – 23, 2022",1658016000,Chile,CL,Netflix,98
"Jul 24 – 30, 2022",1658620800,Chile,CL,Netflix,82
"Jul 31 – Aug 6, 2022",1659225600,Chile,CL,Netflix,80
"Aug 7 – 13, 2022",1659830400,Chile,CL,Netflix,78
"Aug 14 – 20, 2022",1660435200,Chile,CL,Netflix,91
"Aug 21 – 27, 2022",1661040000,Chile,CL,Netflix,72
"Aug 28 – Sep 3, 2022",1661644800,Chile,CL,Netflix,70
"Sep 4 – 10, 2022",1662249600,Chile,CL,Netflix,67
"Sep 11 – 17, 2022",1662854400,Chile,CL,Netflix,78
"Sep 18 – 24, 2022",1663459200,Chile,CL,Netflix,93
"Sep 25 – Oct 1, 2022",1664064000,Chile,CL,Netflix,80
"Oct 2 – 8, 2022",1664668800,Chile,CL,Netflix,74
"Oct 9 – 15, 2022",1665273600,Chile,CL,Netflix,83
"Oct 16 – 22, 2022",1665878400,Chile,CL,Netflix,77
"Oct 23 – 29, 2022",1666483200,Chile,CL,Netflix,72
"Oct 30 – Nov 5, 2022",1667088000,Chile,CL,Netflix,85
"Nov 6 – 12, 2022",1667692800,Chile,CL,Netflix,67
"Nov 13 – 19, 2022",1668297600,Chile,CL,Netflix,68
"Nov 20 – 26, 2022",1668902400,Chile,CL,Netflix,64
"Nov 27 – Dec 3, 2022",1669507200,Chile,CL,Netflix,71
"Dec 4 – 10, 2022",1670112000,Chile,CL,Netflix,76
"Dec 11 – 17, 2022",1670716800,Chile,CL,Netflix,72
"Dec 18 – 24, 2022",1671321600,Chile,CL,Netflix,71
"Dec 25 – 31, 2022",1671926400,Chile,CL,Netflix,78
"Jan 1 – 7, 2023",1672531200,Chile,CL,Netflix,90
"Jan 8 – 14, 2023",1673136000,Chile,CL,Netflix,85
"Jan 15 – 21, 2023",1673740800,Chile,CL,Netflix,77
"Jan 22 – 28, 2023",1674345600,Chile,CL,Netflix,80
"Jan 29 – Feb 4, 2023",1674950400,Chile,CL,Netflix,80
"Feb 5 – 11, 2023",1675555200,Chile,CL,Netflix,77
"Feb 12 – 18, 2023",1676160000,Chile,CL,Netflix,79
"Feb 19 – 25, 2023",1676764800,Chile,CL,Netflix,66
"Feb 26 – Mar 4, 2023",1677369600,Chile,CL,Netflix,69
"Mar 5 – 11, 2023",1677974400,Chile,CL,Netflix,63
"Mar 12 – 18, 2023",1678579200,Chile,CL,Netflix,61
"Mar 19 – 25, 2023",1679184000,Chile,CL,Netflix,63
"Mar 26 – Apr 1, 2023",1679788800,Chile,CL,Netflix,58
"Apr 2 – 8, 2023",1680393600,Chile,CL,Netflix,63
"Apr 9 – 15, 2023",1680998400,Chile,CL,Netflix,59
"Apr 16 – 22, 2023",1681603200,Chile,CL,Netflix,62
"Apr 23 – 29, 2023",1682208000,Chile,CL,Netflix,65
"Apr 30 – May 6, 2023",1682812800,Chile,CL,Netflix,72
"May 7 – 13, 2023",1683417600,Chile,CL,Netflix,60
"May 14 – 20, 2023",1684022400,Chile,CL,Netflix,69
"May 21 – 27, 2023",1684627200,Chile,CL,Netflix,73
"May 28 – Jun 3, 2023",1685232000,Chile,CL,Netflix,63
"Jun 4 – 10, 2023",1685836800,Chile,CL,Netflix,66
"Jun 11 – 17, 2023",1686441600,Chile,CL,Netflix,68
"Jun 18 – 24, 2023",1687046400,Chile,CL,Netflix,80
"Jun 25 – Jul 1, 2023",1687651200,Chile,CL,Netflix,78
"Jul 2 – 8, 2023",1688256000,Chile,CL,Netflix,75
"Jul 9 – 15, 2023",1688860800,Chile,CL,Netflix,75
"Jul 16 – 22, 2023",1689465600,Chile,CL,Netflix,67
"Jul 23 – 29, 2023",1690070400,Chile,CL,Netflix,65
"Jul 30 – Aug 5, 2023",1690675200,Chile,CL,Netflix,62
"Aug 6 – 12, 2023",1691280000,Chile,CL,Netflix,60
"Aug 13 – 19, 2023",1691884800,Chile,CL,Netflix,71
"Aug 20 – 26, 2023",1692489600,Chile,CL,Netflix,65
"Aug 27 – Sep 2, 2023",1693094400,Chile,CL,Netflix,64
"Sep 3 – 9, 2023",1693699200,Chile,CL,Netflix,65
"Sep 10 – 16, 2023",1694304000,Chile,CL,Netflix,63
"Sep 17 – 23, 2023",1694908800,Chile,CL,Netflix,86
"Sep 24 – 30, 2023",1695513600,Chile,CL,Netflix,65
"Oct 1 – 7, 2023",1696118400,Chile,CL,Netflix,56
"Oct 8 – 14, 2023",1696723200,Chile,CL,Netflix,63
"Oct 15 – 21, 2023",1697328000,Chile,CL,Netflix,58
"Oct 22 – 28, 2023",1697932800,Chile,CL,Netflix,61
"Oct 29 – Nov 4, 2023",1698537600,Chile,CL,Netflix,61
"Nov 5 – 11, 2023",1699142400,Chile,CL,Netflix,54
"Nov 12 – 18, 2023",1699747200,Chile,CL,Netflix,53
"Nov 19 – 25, 2023",1700352000,Chile,CL,Netflix,51
"Nov 26 – Dec 2, 2023",1700956800,Chile,CL,Netflix,58
